País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.2485,3.81,10.2704,21.7003,40.9158,57.5637,64.9351,69.3249,72.7207,74.7913,76.0337,77.7731,78.8498,80.5063,81.583,81.9972,82.6598,83.2395,84.7304,86.1384,88.3747,97.734,105.768,111.8971
República Tcheca,0.0,0.0,0.0,0.0,0.0,0.0467,0.3829,3.6978,13.0171,30.89,46.8485,57.0643,65.6738,70.072,73.7325,76.7673,80.7453,84.5085,87.4406,91.0544,94.4161,99.4492,111.6259,118.452,124.5777,133.7569,147.5304,161.4159,175.3948,188.6454
Dinamarca,0.0,0.0,0.0,0.0,0.0,0.1036,4.5579,17.6962,29.6606,52.4671,90.9153,115.7763,136.2349,156.2273,172.9739,186.2677,194.0885,200.7354,206.0356,210.6453,214.9442,220.3134,223.8872,225.9762,228.963,233.1756,238.4413,247.1254,263.9929,278.4261
Diamond Princess,0.0,0.0,3637.8335,14605.2277,18620.318,19024.5217,19024.5217,19024.5217,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.6437,3036.4372,9109.3117,36740.8907,95647.7733,108502.0243,113360.3239,127125.5061,163765.1822,249797.5709,382489.8785,438360.3239,459412.9555,467307.6923,473886.6397,493724.6964,503947.3684,508805.668,512955.4656,531174.0891,541295.5466,543724.6964
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783,16.6699,20.8374,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049
República Dominicana,0.0,0.0,0.0,0.0,0.0,0.0092,0.0461,0.1936,2.8761,10.2232,18.0311,30.2915,46.4974,59.145,78.1717,100.4802,121.8944,140.7091,163.6444,188.1929,218.3462,257.5243,300.2237,354.2618,426.8564,505.1388,596.3361,684.8785,747.5541,799.5734
Equador,0.0,0.0,0.0,0.0,0.0,0.0397,0.085,0.3287,6.1327,12.6962,21.2378,43.0934,58.9354,137.4932,180.7,180.7,193.5663,211.7264,229.0647,248.9195,271.7387,292.7101,319.8539,358.4697,394.3195,431.9944,466.3535,498.5701,541.6466,576.7199
Egito,0.0,0.0,0.0,0.001,0.001,0.002,0.0577,0.1915,0.3928,0.6938,1.4169,2.2964,3.4104,4.927,7.0367,9.8628,13.1764,18.3281,26.9079,35.9889,46.7643,56.8147,66.7527,75.5161,82.0154,87.046,90.8267,92.5906,93.6479,94.3866
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771,0.4934,1.2026,2.2972,3.4689,5.319,9.05,15.3865,23.0952,31.4822,40.9022,49.1967,60.7597,76.6704,99.2568,128.0718,158.8448,193.9809,238.1362,281.5514,327.9113,357.5743
