País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Alemanha,0.0119,0.0167,0.0191,0.0191,0.1552,1.2413,6.9166,29.6871,74.1132,119.5014,152.5996,173.2838,188.3058,197.7276,205.1455,210.5045,215.2298,218.9083,221.7012,223.8114,228.292,232.3751,235.7528,238.6125,241.9736,246.6666,252.1008,259.3433,265.3026,
Gana,0.0515,0.4409,0.6597,1.2165,2.0629,4.1161,6.6746,12.9116,18.1444,20.8735,24.5101,29.5048,34.9372,42.4903,50.9575,62.3951,76.7034,85.5149,99.9487,114.2505,129.0415,134.2808,,,,,,,,
Grécia,0.0672,0.8539,3.7129,7.1284,12.6067,17.5764,20.8192,23.0355,24.6185,25.3477,26.3263,27.2473,27.7462,28.1779,29.3388,30.2023,31.6798,32.7063,34.4333,37.254,38.837,41.0532,46.5794,57.0082,61.2201,,,,,
Granada,6.221,10.6645,12.4419,12.4419,15.9967,18.6629,18.6629,19.5516,19.5516,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,21.329,21.329,21.329,,,,,,,,,
Guatemala,0.067,0.1563,0.2791,0.7033,1.1945,2.4001,3.5946,5.0236,9.1708,15.3107,25.7151,36.1976,50.1352,69.822,88.3477,118.8519,154.162,188.713,241.5943,277.9091,308.5026,336.4895,,,,,,,,
Guiné,0.0076,0.0305,0.396,1.4772,3.3352,6.5637,11.3837,14.6732,18.8307,23.3537,27.0544,30.3896,33.2907,36.8619,39.3976,41.4992,44.781,48.4208,51.8245,55.1444,58.3577,62.4239,,,,,,,,
Guiné-Bissau,0.4065,1.6768,1.9309,2.5406,3.7093,20.9858,41.6666,52.7439,59.8577,68.0386,70.5792,75.813,79.065,84.0447,90.9552,93.5975,99.2886,99.2886,100.6605,106.0975,106.0975,,,,,,,,,
Guiana,0.89,2.5427,2.4156,4.7041,6.9925,8.5182,9.9167,11.8238,14.3665,15.8921,17.6721,19.452,19.8334,21.7405,26.5717,31.53,36.107,39.7939,44.498,50.6006,64.7128,79.2065,80.2236,,,,,,,
Haiti,0.0702,0.1403,0.2631,0.3596,0.6314,0.7104,1.1313,2.3942,6.4372,11.5764,23.1528,34.5625,43.1132,48.612,53.5057,56.8821,60.9339,63.1176,65.0031,66.494,68.2393,,,,,,,,,
Santa Sé,124.8439,124.8439,499.3758,873.9076,998.7516,998.7516,1123.5955,1373.2834,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,,,,,,,
