País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Canadá,4.0,7.0,7.0,9.0,20.0,54.0,198.0,1277.0,5576.0,12978.0,23316.0,34356.0,46371.0,57926.0,68918.0,77206.0,85151.0,91681.0,96475.0,100043.0,102762.0,104878.0,107185.0,109150.0,111875.0,115470.0,118523.0,121148.0,123825.0,126560.0,129639.0,133511.0,138164.0,144607.0,153770.0,166360.0,182767.0,197067.0,216051.0,237313.0,263221.0,295139.0,329191.0,368279.0,412543.0,458527.0,505741.0,544053.0,589935.0,657323.0,706897.0,747362.0,779762.0,805794.0,828408.0,848330.0,850737.0
República Centro-Africana,3.0,3.0,8.0,8.0,12.0,16.0,72.0,143.0,327.0,552.0,962.0,1570.0,2057.0,2686.0,3429.0,3969.0,4288.0,4485.0,4598.0,4614.0,4641.0,4652.0,4679.0,4700.0,4729.0,4749.0,4786.0,4806.0,4845.0,4854.0,4855.0,4862.0,4866.0,4879.0,4896.0,4911.0,4913.0,4922.0,4936.0,4936.0,4948.0,4963.0,4969.0,4973.0,4974.0,4981.0,4989.0,4996.0,5001.0,5001.0,,,,,,,
Chade,3.0,7.0,10.0,23.0,33.0,52.0,170.0,372.0,565.0,715.0,820.0,846.0,854.0,860.0,866.0,873.0,885.0,889.0,926.0,939.0,949.0,971.0,998.0,1017.0,1048.0,1090.0,1164.0,1200.0,1251.0,1329.0,1404.0,1468.0,1517.0,1565.0,1616.0,1655.0,1705.0,1732.0,1800.0,1938.0,2077.0,2328.0,2709.0,3012.0,3269.0,3419.0,3568.0,3724.0,3849.0,,,,,,,,
Chile,2.0,13.0,88.0,592.0,2015.0,4355.0,7366.0,10598.0,14537.0,21213.0,32208.0,50016.0,80287.0,118720.0,160351.0,201634.0,236748.0,267766.0,291847.0,312029.0,328846.0,343592.0,357658.0,371023.0,383902.0,395708.0,408009.0,420434.0,432666.0,444674.0,455979.0,468471.0,479595.0,490003.0,500542.0,510256.0,519977.0,529676.0,539143.0,548941.0,558668.0,569781.0,583355.0,598394.0,615902.0,637742.0,665493.0,694647.0,722900.0,748082.0,772396.0,795845.0,799460.0,,,,
China,5509.0,23707.0,44386.0,74211.0,77754.0,80261.0,80887.0,81058.0,81591.0,82279.0,82718.0,83306.0,83853.0,83940.0,83968.0,84018.0,84063.0,84103.0,84161.0,84198.0,84422.0,84653.0,84785.0,84917.0,85226.0,85708.0,86990.0,88206.0,88958.0,89494.0,89752.0,89933.0,90087.0,90235.0,90399.0,90528.0,90667.0,90858.0,91022.0,91222.0,91478.0,91719.0,91885.0,92296.0,92993.0,93782.0,94537.0,95228.0,95797.0,96310.0,97095.0,98323.0,99541.0,100177.0,100475.0,100639.0,100758.0
Colômbia,9.0,108.0,491.0,1161.0,2223.0,3233.0,4561.0,6507.0,9456.0,13610.0,18330.0,25366.0,35120.0,45212.0,60217.0,80599.0,106110.0,133973.0,173206.0,226373.0,286020.0,357710.0,433805.0,513719.0,581995.0,641574.0,694664.0,743945.0,790823.0,835339.0,886179.0,936982.0,990373.0,1053122.0,1117977.0,1174012.0,1225490.0,1280487.0,1343322.0,1399911.0,1468795.0,1559766.0,1642775.0,1737347.0,1849101.0,1972345.0,2067575.0,2135412.0,2179641.0,2212525.0,2226262.0,,,,,,
Comores,8.0,11.0,34.0,87.0,132.0,162.0,197.0,265.0,303.0,313.0,321.0,337.0,378.0,388.0,399.0,406.0,417.0,427.0,456.0,467.0,470.0,479.0,491.0,496.0,504.0,517.0,554.0,569.0,591.0,607.0,613.0,617.0,633.0,693.0,765.0,995.0,1169.0,1933.0,2492.0,2892.0,3209.0,3413.0,3502.0,,,,,,,,,,,,,,
República do Congo,3.0,4.0,22.0,60.0,143.0,200.0,229.0,274.0,391.0,487.0,571.0,683.0,728.0,883.0,1087.0,1557.0,2028.0,2633.0,3038.0,3200.0,3664.0,3745.0,3850.0,3979.0,4628.0,4928.0,4986.0,5005.0,5089.0,5118.0,5156.0,5253.0,5290.0,5379.0,5515.0,5632.0,5774.0,5774.0,6049.0,6200.0,6908.0,7107.0,7127.0,7709.0,7794.0,7887.0,8060.0,8419.0,8419.0,8625.0,,,,,,,
República Democrática do Congo,3.0,45.0,98.0,180.0,241.0,350.0,471.0,705.0,1102.0,1629.0,2403.0,3326.0,4259.0,4974.0,6027.0,7039.0,7432.0,8135.0,8534.0,8873.0,9178.0,9499.0,9721.0,9891.0,10104.0,10292.0,10401.0,10523.0,10631.0,10789.0,10872.0,11066.0,11191.0,11427.0,11642.0,11866.0,12310.0,12859.0,13750.0,14597.0,15810.0,17182.0,18248.0,19707.0,21140.0,22048.0,23043.0,23771.0,24423.0,25080.0,,,,,,,
Costa Rica,22.0,69.0,231.0,396.0,539.0,642.0,686.0,719.0,765.0,830.0,903.0,1000.0,1194.0,1538.0,1939.0,2684.0,4023.0,6485.0,9546.0,13129.0,17290.0,21070.0,26129.0,31075.0,37292.0,44458.0,52549.0,60818.0,69459.0,76828.0,84828.0,93152.0,100616.0,107570.0,114367.0,120939.0,128231.0,135742.0,142505.0,149815.0,156388.0,162990.0,169321.0,176407.0,183242.0,188477.0,192637.0,195992.0,198756.0,201241.0,201678.0,,,,,,
Costa do Marfim,5.0,73.0,179.0,349.0,638.0,916.0,1183.0,1464.0,1857.0,2153.0,2477.0,3024.0,3995.0,5679.0,7904.0,9499.0,11194.0,13037.0,14531.0,15713.0,16293.0,16847.0,17150.0,17562.0,18103.0,18778.0,19100.0,19343.0,19669.0,19903.0,20183.0,20342.0,20488.0,20765.0,20847.0,21004.0,21156.0,21334.0,21513.0,21775.0,21942.0,22250.0,22855.0,24186.0,25383.0,27237.0,28607.0,29967.0,31365.0,32026.0,,,,,,,
