País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Costa do Marfim,0.0,0.0,1.0,3.0,6.0,13.0,14.0,18.0,21.0,28.0,30.0,33.0,38.0,46.0,58.0,68.0,76.0,87.0,93.0,98.0,103.0,105.0,110.0,114.0,117.0,119.0,120.0,120.0,120.0,120.0,120.0,121.0,122.0,126.0,126.0,129.0,131.0,132.0,132.0,133.0,133.0,137.0,138.0,140.0,140.0,,,,,,,
Croácia,0.0,0.0,0.0,1.0,6.0,16.0,25.0,47.0,59.0,80.0,91.0,95.0,100.0,103.0,104.0,107.0,107.0,107.0,113.0,119.0,122.0,139.0,153.0,158.0,166.0,173.0,186.0,201.0,227.0,253.0,272.0,300.0,327.0,374.0,452.0,594.0,832.0,1082.0,1398.0,1786.0,2233.0,2705.0,3257.0,3739.0,4126.0,4403.0,4517.0,,,,,
Cuba,1.0,1.0,6.0,12.0,24.0,40.0,58.0,69.0,79.0,79.0,82.0,83.0,83.0,84.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,92.0,98.0,104.0,109.0,118.0,122.0,123.0,123.0,127.0,128.0,129.0,130.0,131.0,133.0,136.0,136.0,137.0,139.0,145.0,148.0,158.0,160.0,,,,,,,
Chipre,0.0,1.0,5.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,17.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,25.0,25.0,25.0,26.0,35.0,39.0,44.0,48.0,61.0,78.0,91.0,112.0,131.0,148.0,163.0,,,,,,,
República Tcheca,0.0,0.0,0.0,11.0,59.0,129.0,181.0,218.0,245.0,276.0,296.0,314.0,319.0,327.0,330.0,336.0,349.0,353.0,352.0,358.0,369.0,383.0,390.0,395.0,411.0,421.0,431.0,453.0,499.0,591.0,711.0,948.0,1352.0,2077.0,3251.0,4681.0,6058.0,7095.0,8054.0,8815.0,9450.0,10271.0,10950.0,11827.0,12978.0,13856.0,,,,,,
Dinamarca,0.0,0.0,4.0,34.0,104.0,218.0,309.0,384.0,443.0,506.0,533.0,554.0,565.0,580.0,593.0,598.0,603.0,606.0,609.0,610.0,611.0,614.0,616.0,621.0,621.0,623.0,626.0,628.0,633.0,643.0,650.0,663.0,675.0,690.0,715.0,729.0,753.0,770.0,802.0,852.0,904.0,975.0,1096.0,1256.0,1451.0,1661.0,1661.0,,,,,
Diamond Princess,0.0,2.0,4.0,6.0,7.0,7.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,
Djibouti,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,7.0,14.0,25.0,34.0,43.0,49.0,54.0,55.0,56.0,56.0,58.0,59.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
República Dominicana,0.0,0.0,2.0,28.0,68.0,135.0,217.0,273.0,326.0,385.0,428.0,458.0,498.0,536.0,577.0,655.0,718.0,786.0,880.0,971.0,1055.0,1170.0,1289.0,1438.0,1554.0,1673.0,1840.0,1953.0,2044.0,2093.0,2128.0,2167.0,2195.0,2220.0,2245.0,2263.0,2282.0,2308.0,2328.0,2345.0,2360.0,2382.0,2404.0,2416.0,2424.0,2428.0,,,,,,
